Sample	CultureType	Replicate	UFC
P1.1X	Control	Replicate1	6500
P4.3X	Control	Replicate1	360000
P4.7X	Control	Replicate1	17700
M13.5A	Control	Replicate1	20000
M13.7X	Control	Replicate1	3640000
M11.3X	Control	Replicate1	85000
P4.10X	Control	Replicate1	120000
CS5.4X	Control	Replicate1	2300
CS6.2X	Control	Replicate1	53000
M12.2X	Control	Replicate1	39000
P12.4X	Control	Replicate1	2030000
P12.5X	Control	Replicate1	45000
P12.8X	Control	Replicate1	4000000
M10.4A	Control	Replicate1	570000
M12.3A	Control	Replicate1	7700
P1.1X	Control	Replicate2	5200
P4.3X	Control	Replicate2	650000
P4.7X	Control	Replicate2	22400
M13.5A	Control	Replicate2	70000
M13.7X	Control	Replicate2	2320000
M11.3X	Control	Replicate2	127000
P4.10X	Control	Replicate2	104000
CS5.4X	Control	Replicate2	5700
CS6.2X	Control	Replicate2	23000
M12.2X	Control	Replicate2	24000
P12.4X	Control	Replicate2	2720000
P12.5X	Control	Replicate2	57000
P12.8X	Control	Replicate2	6000000
M10.4A	Control	Replicate2	240000
M12.3A	Control	Replicate2	20400
P1.1X	Plastic	Replicate1	9100
P4.3X	Plastic	Replicate1	270000
P4.7X	Plastic	Replicate1	9500
M13.5A	Plastic	Replicate1	40000
M13.7X	Plastic	Replicate1	2640000
M11.3X	Plastic	Replicate1	558000
P4.10X	Plastic	Replicate1	81000
CS5.4X	Plastic	Replicate1	96000
CS6.2X	Plastic	Replicate1	59000
M12.2X	Plastic	Replicate1	88000
P12.4X	Plastic	Replicate1	6140000
P12.5X	Plastic	Replicate1	90000
P12.8X	Plastic	Replicate1	16500000
M10.4A	Plastic	Replicate1	420000
M12.3A	Plastic	Replicate1	3500
P1.1X	Plastic	Replicate2	16000
P4.3X	Plastic	Replicate2	490000
P4.7X	Plastic	Replicate2	12100
M13.5A	Plastic	Replicate2	90000
M13.7X	Plastic	Replicate2	2750000
M11.3X	Plastic	Replicate2	430000
P4.10X	Plastic	Replicate2	89000
CS5.4X	Plastic	Replicate2	70000
CS6.2X	Plastic	Replicate2	34000
M12.2X	Plastic	Replicate2	125000
P12.4X	Plastic	Replicate2	5070000
P12.5X	Plastic	Replicate2	59000
P12.8X	Plastic	Replicate2	19000000
M10.4A	Plastic	Replicate2	340000
M12.3A	Plastic	Replicate2	9900
