SampleID,Gender,Age-range,Region,Area
S1,Male,18-24,EXTREMADURA,Rest
S2,Female,30-34,CANARIAS,Island
S3,Male,25-29,ANDALUCIA,Mediterranean
S4,Male,18-24,EXTREMADURA,Rest
S5,Male,35-39,EXTREMADURA,Rest
S6,Female,55-59,CATALONIA,Mediterranean
S7,Female,25-29,CATALONIA,Mediterranean
S8,Female,35-39,MADRID,Rest
S9,Male,25-29,ANDALUCIA,Mediterranean
S10,Female,65-70,CANARIAS,Island
S11,Male,65-70,MADRID,Rest
S12,Male,65-70,BALEARES,Island
S13,Male,35-39,GALICIA,Rest
S14,Female,45-49,VALENCIANA,Mediterranean
S15,Female,65-70,EXTREMADURA,Rest
S16,Male,60-64,ANDALUCIA,Mediterranean
S17,Female,40-44,MADRID,Rest
S18,Male,18-24,CANARIAS,Island
S19,Male,65-70,BALEARES,Island
S20,Male,65-70,CANARIAS,Island
S21,Male,65-70,CANARIAS,Island
S22,Male,30-34,CANARIAS,Island
S23,Male,65-70,ANDALUCIA,Mediterranean
S24,Male,25-29,CATALONIA,Mediterranean
S25,Female,65-70,BALEARES,Island
S26,Male,18-24,CANARIAS,Island
S27,Male,18-24,BALEARES,Island
S28,Male,18-24,ANDALUCIA,Mediterranean
S29,Male,18-24,CATALONIA,Mediterranean
S30,Male,18-24,CATALONIA,Mediterranean
S31,Female,18-24,BALEARES,Island
S32,Female,18-24,ANDALUCIA,Mediterranean
S33,Male,60-64,ANDALUCIA,Mediterranean
S34,Female,65-70,ANDALUCIA,Mediterranean
S35,Female,18-24,MURCIA,Mediterranean
S36,Male,18-24,CANTABRIA,Rest
S37,Female,18-24,CANTABRIA,Rest
S38,Female,18-24,CATALONIA,Mediterranean
S39,Male,50-54,MURCIA,Mediterranean
S40,Male,25-29,MURCIA,Mediterranean
S41,Male,50-54,ANDALUCIA,Mediterranean
S42,Male,60-64,CANARIAS,Island
S43,Male,50-54,CANTABRIA,Rest
S44,Male,50-54,CANARIAS,Island
S45,Male,50-54,ARAGON,Rest
S46,Female,18-24,MADRID,Rest
S47,Male,50-54,ANDALUCIA,Mediterranean
S48,Male,18-24,ANDALUCIA,Mediterranean
S49,Female,18-24,ANDALUCIA,Mediterranean
S50,Female,65-70,ANDALUCIA,Mediterranean
S51,Female,25-29,CATALONIA,Mediterranean
S52,Male,18-24,VALENCIANA,Mediterranean
S53,Male,65-70,ANDALUCIA,Mediterranean
S54,Female,25-29,CATALONIA,Mediterranean
S55,Male,50-54,LAMANCHA,Rest
S56,Male,30-34,CASTILLA.LEON,Rest
S57,Male,30-34,CATALONIA,Mediterranean
S58,Female,18-24,MURCIA,Mediterranean
S59,Male,50-54,ANDALUCIA,Mediterranean
S60,Male,55-59,CATALONIA,Mediterranean
S61,Male,60-64,CATALONIA,Mediterranean
S62,Male,65-70,LAMANCHA,Rest
S63,Female,40-44,CANARIAS,Island
S64,Male,30-34,CATALONIA,Mediterranean
S65,Female,30-34,ANDALUCIA,Mediterranean
S66,Male,55-59,CATALONIA,Mediterranean
S67,Female,60-64,EXTREMADURA,Rest
S68,Female,30-34,CANARIAS,Island
S69,Male,45-49,ANDALUCIA,Mediterranean
S70,Male,45-49,CATALONIA,Mediterranean
S71,Female,30-34,MURCIA,Mediterranean
S72,Female,65-70,ANDALUCIA,Mediterranean
S73,Female,30-34,ANDALUCIA,Mediterranean
S74,Male,35-39,LAMANCHA,Rest
S75,Male,60-64,ANDALUCIA,Mediterranean
S76,Female,18-24,ANDALUCIA,Mediterranean
S77,Male,60-64,EXTREMADURA,Rest
S78,Male,50-54,CANTABRIA,Rest
S79,Female,65-70,CATALONIA,Mediterranean
S80,Male,18-24,ARAGON,Rest
S81,Male,55-59,ANDALUCIA,Mediterranean
S82,Male,65-70,ANDALUCIA,Mediterranean
S83,Male,60-64,ANDALUCIA,Mediterranean
S84,Female,65-70,MURCIA,Mediterranean
S85,Male,65-70,ANDALUCIA,Mediterranean
S86,Male,25-29,MURCIA,Mediterranean
S87,Male,60-64,CATALONIA,Mediterranean
S88,Male,45-49,ANDALUCIA,Mediterranean
S89,Male,45-49,CATALONIA,Mediterranean
S90,Male,65-70,CANARIAS,Island
S91,Male,55-59,ANDALUCIA,Mediterranean
S92,Male,60-64,VALENCIANA,Mediterranean
S93,Male,55-59,ANDALUCIA,Mediterranean
S94,Male,55-59,CATALONIA,Mediterranean
S95,Female,30-34,ANDALUCIA,Mediterranean
S96,Male,50-54,CASTILLA.LEON,Rest
S97,Male,30-34,ARAGON,Rest
S98,Male,30-34,ANDALUCIA,Mediterranean
S99,Female,55-59,ANDALUCIA,Mediterranean
S100,Male,50-54,VALENCIANA,Mediterranean
S101,Female,65-70,VALENCIANA,Mediterranean
S102,Male,55-59,ANDALUCIA,Mediterranean
S103,Female,25-29,LAMANCHA,Rest
S104,Female,35-39,MELILLA,Rest
S105,Male,45-49,CATALONIA,Mediterranean
S106,Female,55-59,CATALONIA,Mediterranean
S107,Male,35-39,CASTILLA.LEON,Rest
S108,Male,30-34,GALICIA,Rest
S109,Female,55-59,ANDALUCIA,Mediterranean
S110,Female,60-64,CATALONIA,Mediterranean
S111,Female,60-64,ANDALUCIA,Mediterranean
S112,Male,35-39,ANDALUCIA,Mediterranean
S113,Female,18-24,ARAGON,Rest
S114,Female,65-70,BASQUE,Rest
S115,Female,65-70,GALICIA,Rest
S116,Female,25-29,ANDALUCIA,Mediterranean
S117,Female,50-54,ANDALUCIA,Mediterranean
S118,Male,25-29,BASQUE,Rest
S119,Male,45-49,LAMANCHA,Rest
S120,Male,50-54,ANDALUCIA,Mediterranean
S121,Female,50-54,ANDALUCIA,Mediterranean
S122,Male,65-70,MURCIA,Mediterranean
S123,Male,35-39,EXTREMADURA,Rest
S124,Male,50-54,CANTABRIA,Rest
S125,Male,18-24,GALICIA,Rest
S126,Male,65-70,GALICIA,Rest
S127,Male,40-44,CATALONIA,Mediterranean
S128,Female,65-70,VALENCIANA,Mediterranean
S129,Male,30-34,GALICIA,Rest
S130,Female,30-34,CATALONIA,Mediterranean
S131,Male,45-49,ANDALUCIA,Mediterranean
S132,Male,45-49,VALENCIANA,Mediterranean
S133,Female,60-64,VALENCIANA,Mediterranean
S134,Male,30-34,VALENCIANA,Mediterranean
