Taxon,Wine,Yogurt,Sugar-sweetened beverages,Nuts,Garnish Vegetables,Pizza-Croquette and others,Milk,Ham,Bread,Minced Beef,Legumes,Pastries,BMI,Spirits,Other Fruits,Beef and pork and lamb,Green Beans and Chard and Spinach ,Salad,Pasta
Acidaminococcus,-0.165039008861666,0,0,-0.156377215379542,0,0,0,0,0,0,0,0,0,0,-0.165807057140303,0,-0.131578458308859,-0.169883145106412,0
Bifidobacterium,-0.204363358209589,0,0,-0.11800372961877,0,0,0.165957500470804,0,0.142258644292605,0,0,0,0,0,0,0,0,-0.126682223158493,0
Gastranaerophilales,0.175024923925779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus,0,0.171524789940291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasutterella,0,0,0.132558316068813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium eligens group,0,0,-0.128775981057632,0.132850914035711,0,-0.162171971251004,0,0,0,-0.151311458672235,0,0,0,0,0,0,0.163028682950879,0.132860011960267,-0.137466398419515
Oscillospirales UCG-010,0,0,-0.14929223445843,0.189569611401744,0,0,0,0,0,0,0,0,0,0,0.148627557102461,0,0.141783003648574,0.127781687710066,0
Eubacterium xylanophilum group,0,0,-0.193630544573404,0,0,0,0,-0.147492604411878,0,0,0,0,0,0,0,0,0,0,0
Bacteroides pectinophilus group,0,0,-0.181216220716801,0,0,0,0,-0.161094158971752,0,0,0,0,0,0,0,0,0.135293629326337,0.168024210336273,0
Flavonifractor,0,0,0.157618044254697,-0.192519213561369,-0.181892964418329,0.159620424429694,0,0,0,0,0,0,0,0,-0.188404959984504,0,-0.195722973834963,-0.156477935436251,0
Defluviitaleaceae UCG-011,0,0,-0.158534952131204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacilli RF39,0,0,-0.129500706154603,0,0,-0.150125535914418,0,-0.157191984779286,0,0,0,0,0,-0.145902307291403,0,0,0.133439809934533,0,0
Clostridia UCG-014,0,0,-0.170554744977673,0.137760372445739,0,0,0,0,0,0,0,0,0,0,0.143963021625169,0,0,0,0
Akkermansia,0,0,-0.141174220039816,0,0,0,0,0,0,0,0,0,0,-0.154785722082529,0,0,0,0,0
Oxalobacter,0,0,-0.13690306982919,0.1300672212378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae UCG-003,0,0,-0.140549789143218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169407967144082,-0.15620561422782
Oscillibacter,0,0,0,-0.118650274575429,0,0,0,0,0,0,0,0,0,0,0,0,-0.141600071235867,0,0.136070068311431
Oscillospiraceae UCG-005,0,0,0,0.121642722075678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megasphaera,0,0,0,-0.23223475197351,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16600800108023,0
Lactobacillus,0,0,0,-0.119157354942058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faecalitalea,0,0,0,-0.119208105775042,0,0,0,0,0,0,0,0,0,0,-0.146113824087253,0,0,0,0
Ruminococcus torques group,0,0,0,-0.17452294733469,0,0,0,0,0,0.168825035226053,0,0,0,0,0,0.167667432294961,-0.130180534140748,0,0
Anaerovoracaceae XIIIAD3011 group,0,0,0,0.126712264515883,0,0,0,0,0,0,0,0,0,0,0,0,0.126669044255073,0,0
Christensenellaceae R-7 group,0,0,0,0.13172504556214,0,0,0,0,0,0,0,0,-0.168131493102029,0,0,0,0,0,0
Lachnoclostridium,0,0,0,-0.120059258106121,0,0,0,0.138628852886379,0,0,0,0,0,0,0,0,0,0,0
Negativibacillus,0,0,0,-0.124392611596453,0,0,0,0,0,0,0,0,0,0,-0.172326415978129,0,0,0,0
Uncult. Oscillospiraceae,0,0,0,-0.144566522305571,-0.13436315874988,0,0,0,0,0,0,0,0,0,0,0,-0.160331757023044,0,0
Oscillospiraceae NK4A214 group,0,0,0,0.188696622708352,0,0,0,0,0,0,0,-0.154914470539011,0,0,0,0,0.129878100420853,0,0
Oscillospiraceae UCG-003,0,0,0,0.13674316254356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138345471327909
Marvinbryantia,0,0,0,0.123145037624042,0,0,0,0,0,0,0,0,-0.142962579843641,0,0,0,0,0,0
Izemoplasmatales,0,0,0,0.12158339037914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138886802625499,0
Lachnospiraceae UCG-004,0,0,0,0.136933261540671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bilophila,0,0,0,0,-0.136427192596913,0,0,0,0,0,0,0,0,0,0,0,-0.130928294935683,0,0
Eubacterium ruminantium group,0,0,0,0,0.138445402123906,0,0,0,0,0,0,0,0,0,0,0,0.161821053216998,0,0
Bacteroides,0,0,0,0,-0.199856854249461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella,0,0,0,0,0.167848685532833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae UCG-008,0,0,0,0,0.170468288774554,-0.150473777681491,0,0,0,0,0,0,0,0,0,0,0,0,-0.152236098960273
Butyricicoccus,0,0,0,0,0,0,-0.186151094176912,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus,0,0,0,0,0,0,0,-0.149481867240698,0,-0.157798287242008,0,0,0,-0.14247985805459,0,0,0,0,0
Unass. Ruminococcaceae,0,0,0,0,0,0,0,0,0.146924647070141,0,0,0,0,0,0,0,0,0,0
Subdoligranulum,0,0,0,0,0,0,0,0,0.183673896278061,0,0,0,0,0,0,0,0,0,0
Succinivibrio,0,0,0,0,0,0,0,0,-0.142428386290307,0,0,0,0,0,0,0,0,0,0
Coprococcus,0,0,0,0,0,0,0,0,0,0,0.185113168433223,0,0,0,0,0,0,0,0
Methanosphaera,0,0,0,0,0,0,0,0,0,0,0,-0.175875946496847,0,0,0,0,0,0,0
Unass. Lachnospiraceae,0,0,0,0,0,0,0,0,0,0,0,0,0.135590183591043,0,0,0,0,0,-0.13297524990314
Anaerotruncus,0,0,0,0,0,0,0,0,0,0,0,0,-0.158583913979807,0,0,0,0,0,0
Roseburia,0,0,0,0,0,0,0,0,0,0,0,0,0.139875101184322,0,0,0,0,0,0
Uncult. Peptococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,-0.139992029221708,0,0,0,0,0,0
Catenibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0.135994305368943,0,0,0,0,0,0
Uncult. Rhodospirillales,0,0,0,0,0,0,0,0,0,0,0,0,0.140464416516446,0,0,0,0,0,0
Holdemanella,0,0,0,0,0,0,0,0,0,0,0,0,0.136240911995325,0,0,0,0,0,0
Paraprevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159597512360543,0,0,0,0,0
Parabacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164670344595045,0,0,0,0
Clostridiavadin BB60 group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133586610048879,0,0,0,0
Monoglobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156692628087744,0,0,0
Collinsella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13883456832373,-0.134130578131875,0.15787265363713
Butyrivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158998380888029,0.179245603780624,0
Coprobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137196593192216,0,0
Eubacterium siraeum group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150032093120695,0
Ruminococcus gnavus group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132297246849186
Dialister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132325976745057
Dorea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192706951374957
Agathobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156459174146131
