Taxon,Meat,Vegetables,Fruits,Carbohydrates,Sugar,Dairy.Foods
Prevotellaceae UCG-001,-0.141369026494505,0,0,0,0,0
Ruminococcus torques group,0.158866266730259,0,0,0,0.171587330685187,0
Negativibacillus,0.149217526661304,0,-0.149943042436234,0,0,0
Bacilli RF39,-0.144605746021392,0,0,0,-0.170863813814242,0
Ruminococcus,-0.185584500196967,0,0,0,0,0
Oscillibacter,0,-0.133970930862247,0,0,0.141426516931103,0
Eubacterium eligens group,0,0.138113887278114,0.1547043635065,-0.153867955173815,0,0
Eubacterium ruminantium group,0,0.159152816560821,0,0,0,0
Acidaminococcus,0,-0.147140774750403,0,0,0,0
Butyrivibrio,0,0.178951599088555,0,0,0,0
Oscillospirales UCG-010,0,0.148816840547645,0.153221865621132,0,0,0
Bacteroides pectinophilus group,0,0.155019901346409,0,0,0,0
Lachnospiraceae UCG-008,0,0.130247652524764,0,0,0,0
Flavonifractor,0,-0.198193616744229,-0.167720224145611,0,0,0
Uncult. Oscillospiraceae,0,-0.141189501892881,0,0,0,0
Methanobrevibacter,0,0,0.127674965945377,0,0,0
Anaerostipes,0,0,0.127943231225118,0,0,0
Eubacterium siraeum group,0,0,0.134152105883228,0,0,0
Parabacteroides,0,0,-0.146052404041656,0,0,0
Eubacterium xylanophilum group,0,0,0.128792216658793,0,0,0
Lachnospiraceae ND3007 group,0,0,0.144243303572005,0,0,0
Clostridia UCG-014,0,0,0.157241646439534,0,0,0
Clostridia vadinBB60 group,0,0,0.139878725601497,0,0,0
Unass. Lachnospiraceae,0,0,0,-0.156782528538063,0,0
Bifidobacterium,0,0,0,0.153651398004033,0,0
Agathobacter,0,0,0,0.152700229459524,0,0
Subdoligranulum,0,0,0,0.143486591516677,0,0
Ruminococcaceae Incertae Sedis,0,0,0,0,0.143894443573156,0
Dorea,0,0,0,0,0.144075902679425,0
Lachnoclostridium,0,0,0,0,0.1425394538375,0
Oscillospiraceae NK4A214 group,0,0,0,0,-0.141931123244013,0
Butyricicoccus,0,0,0,0,0,-0.183334028552447
